lemma,wethey_past,pastpart,i_pres,wethey_pres,you_pres,hsi_pres,prespart,i_past,you_past,hsi_past
thaw,thawed,thawed,thaw,thaw,thaw,thaws,thawing,thawed,thawed,thawed
tick,ticked,ticked,tick,tick,tick,ticks,ticking,ticked,ticked,ticked
tickle,tickled,tickled,tickle,tickle,tickle,tickles,tickling,tickled,tickled,tickled
tie,tied,tied,tie,tie,tie,ties,tying,tied,tied,tied
time,timed,timed,time,time,time,times,timing,timed,timed,timed
tip,tipped,tipped,tip,tip,tip,tips,tipping,tipped,tipped,tipped
tire,tired,tired,tire,tire,tire,tires,tiring,tired,tired,tired
touch,touched,touched,touch,touch,touch,touches,touching,touched,touched,touched
tour,toured,toured,tour,tour,tour,tours,touring,toured,toured,toured
tow,towed,towed,tow,tow,tow,tows,towing,towed,towed,towed
trace,traced,traced,trace,trace,trace,traces,tracing,traced,traced,traced
trade,traded,traded,trade,trade,trade,trades,trading,traded,traded,traded
train,trained,trained,train,train,train,trains,training,trained,trained,trained
transport,transported,transported,transport,transport,transport,transports,transporting,transported,transported,transported
trap,trapped,trapped,trap,trap,trap,traps,trapping,trapped,trapped,trapped
travel,traveled,traveled,travel,travel,travel,travels,traveling,traveled,traveled,traveled
treat,treated,treated,treat,treat,treat,treats,treating,treated,treated,treated
tremble,trembled,trembled,tremble,tremble,tremble,trembles,trembling,trembled,trembled,trembled
trick,tricked,tricked,trick,trick,trick,tricks,tricking,tricked,tricked,tricked
trip,tripped,tripped,trip,trip,trip,trips,tripping,tripped,tripped,tripped
trot,trotted,trotted,trot,trot,trot,trots,trotting,trotted,trotted,trotted
trouble,troubled,troubled,trouble,trouble,trouble,troubles,troubling,troubled,troubled,troubled
trust,trusted,trusted,trust,trust,trust,trusts,trusting,trusted,trusted,trusted
try,tried,tried,try,try,try,tries,trying,tried,tried,tried
tug,tugged,tugged,tug,tug,tug,tugs,tugging,tugged,tugged,tugged
tumble,tumbled,tumbled,tumble,tumble,tumble,tumbles,tumbling,tumbled,tumbled,tumbled
turn,turned,turned,turn,turn,turn,turns,turning,turned,turned,turned
twist,twisted,twisted,twist,twist,twist,twists,twisting,twisted,twisted,twisted
type,typed,typed,type,type,type,types,typing,typed,typed,typed
undress,undressed,undressed,undress,undress,undress,undresses,undressing,undressed,undressed,undressed
unfasten,unfastened,unfastened,unfasten,unfasten,unfasten,unfastens,unfastening,unfastened,unfastened,unfastened
unite,united,united,unite,unite,unite,unites,uniting,united,united,united
unlock,unlocked,unlocked,unlock,unlock,unlock,unlocks,unlocking,unlocked,unlocked,unlocked
unpack,unpacked,unpacked,unpack,unpack,unpack,unpacks,unpacking,unpacked,unpacked,unpacked
untidy,untidied,untidied,untidy,untidy,untidy,untidies,untidying,untidied,untidied,untidied
vanish,vanished,vanished,vanish,vanish,vanish,vanishes,vanishing,vanished,vanished,vanished
visit,visited,visited,visit,visit,visit,visits,visiting,visited,visited,visited
wail,wailed,wailed,wail,wail,wail,wails,wailing,wailed,wailed,wailed
wait,waited,waited,wait,wait,wait,waits,waiting,waited,waited,waited
walk,walked,walked,walk,walk,walk,walks,walking,walked,walked,walked
wander,wandered,wandered,wander,wander,wander,wanders,wandering,wandered,wandered,wandered
want,wanted,wanted,want,want,want,wants,wanting,wanted,wanted,wanted
warm,warmed,warmed,warm,warm,warm,warms,warming,warmed,warmed,warmed
warn,warned,warned,warn,warn,warn,warns,warning,warned,warned,warned
wash,washed,washed,wash,wash,wash,washes,washing,washed,washed,washed
waste,wasted,wasted,waste,waste,waste,wastes,wasting,wasted,wasted,wasted
watch,watched,watched,watch,watch,watch,watches,watching,watched,watched,watched
water,watered,watered,water,water,water,waters,watering,watered,watered,watered
wave,waved,waved,wave,wave,wave,waves,waving,waved,waved,waved
weigh,weighed,weighed,weigh,weigh,weigh,weighs,weighing,weighed,weighed,weighed
welcome,welcomed,welcomed,welcome,welcome,welcome,welcomes,welcoming,welcomed,welcomed,welcomed
whine,whined,whined,whine,whine,whine,whines,whining,whined,whined,whined
whip,whipped,whipped,whip,whip,whip,whips,whipping,whipped,whipped,whipped
whirl,whirled,whirled,whirl,whirl,whirl,whirls,whirling,whirled,whirled,whirled
whisper,whispered,whispered,whisper,whisper,whisper,whispers,whispering,whispered,whispered,whispered
whistle,whistled,whistled,whistle,whistle,whistle,whistles,whistling,whistled,whistled,whistled
wink,winked,winked,wink,wink,wink,winks,winking,winked,winked,winked
wipe,wiped,wiped,wipe,wipe,wipe,wipes,wiping,wiped,wiped,wiped
wish,wished,wished,wish,wish,wish,wishes,wishing,wished,wished,wished
wobble,wobbled,wobbled,wobble,wobble,wobble,wobbles,wobbling,wobbled,wobbled,wobbled
wonder,wondered,wondered,wonder,wonder,wonder,wonders,wondering,wondered,wondered,wondered
work,worked,worked,work,work,work,works,working,worked,worked,worked
worry,worried,worried,worry,worry,worry,worries,worrying,worried,worried,worried
wreck,wrecked,wrecked,wreck,wreck,wreck,wrecks,wrecking,wrecked,wrecked,wrecked
wrestle,wrestled,wrestled,wrestle,wrestle,wrestle,wrestles,wrestling,wrestled,wrestled,wrestled
wriggle,wriggled,wriggled,wriggle,wriggle,wriggle,wriggles,wriggling,wriggled,wriggled,wriggled
yawn,yawned,yawned,yawn,yawn,yawn,yawns,yawning,yawned,yawned,yawned
yell,yelled,yelled,yell,yell,yell,yells,yelling,yelled,yelled,yelled
zip,zipped,zipped,zip,zip,zip,zips,zipping,zipped,zipped,zipped
zoom,zoomed,zoomed,zoom,zoom,zoom,zooms,zooming,zoomed,zoomed,zoomed
